Comment,Designator,Footprint,LCSC
"4u7","C1,C3","Capacitor_SMD:C_0402_1005Metric","C5173643"
"1u","C2,C6","Capacitor_SMD:C_0402_1005Metric","C913490"
"100n","C4,C9,C10,C11,C12","Capacitor_SMD:C_0402_1005Metric","C107372"
"10n","C5","Capacitor_SMD:C_0402_1005Metric","C1518210"
"16p","C7,C8","Capacitor_SMD:C_0402_1005Metric","C513591"
"LED","D1,D2,D3,D4,D5,D6,D7,D8,D9","LED_SMD:LED_0603_1608Metric","C72038"
"500mA","F1","Fuse:Fuse_0402_1005Metric","C136320"
"USB_C_Receptacle_USB2.0","J1","Hugo_Custom:SHOU-HAN-TYPE-C-16PFS-2J-H7-45-IPX8","C3020050"
"5k1","R1,R2","Resistor_SMD:R_0402_1005Metric","C2692894"
"330R","R3,R6,R7,R8,R9,R10,R11,R12,R13","Resistor_SMD:R_0402_1005Metric","C5139567"
"10k","R5","Resistor_SMD:R_0402_1005Metric","C308028"
"SW_SPDT","SW1","Hugo_Custom:MK-12C02-G025","C778186"
"SW_Push","SW2,SW3,SW4,SW5","Hugo_Custom:XKB_TS_1187A_X_X_X","C318884"
"LP5907MFX-3.3","U1","Package_TO_SOT_SMD:SOT-23-5","C80670"
"STM32F070F6Px","U2","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C86951"
"8Mhz Crystal","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C479191"